"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 01 09:57:23 UTC 2022","Fri Apr 01 09:57:26 UTC 2022","3756","","GitHub site","","GitHub site","Registration (sign up, body) on GitHub (positive)","Registration (sign up, body) on GitHub (positive)",""
"passed","Fri Apr 01 09:57:00 UTC 2022","Fri Apr 01 09:57:04 UTC 2022","3273","","addValue method Test","","addValue method Test","addValue test","addValue test",""
"skipped","Fri Apr 01 09:57:11 UTC 2022","Fri Apr 01 09:57:11 UTC 2022","0","","webdriver.io page","","webdriver.io page","PageObjects -- Task 8-9","PageObjects -- Task 8-9",""
"passed","Thu Mar 31 18:52:18 UTC 2022","Thu Mar 31 18:52:31 UTC 2022","13088","","GitHub site","","GitHub site","Search field","Search field",""
"broken","Fri Apr 01 09:58:08 UTC 2022","Fri Apr 01 09:58:13 UTC 2022","4560","","GitHub site","","GitHub site","Pricing plans","Pricing plans",""
"passed","Thu Mar 31 18:51:23 UTC 2022","Thu Mar 31 18:52:00 UTC 2022","37742","","GitHub site","","GitHub site","Sign in on GitHub","Sign in on GitHub",""
"passed","Thu Mar 31 18:48:22 UTC 2022","Thu Mar 31 18:48:26 UTC 2022","3426","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 3","Test suite -- Task 5 / Test case 3",""
"passed","Thu Mar 31 18:47:44 UTC 2022","Thu Mar 31 18:47:52 UTC 2022","8000","","webdriver.io page","","webdriver.io page","API -> Search -- Task 1","API -> Search -- Task 1",""
"passed","Thu Mar 31 18:48:42 UTC 2022","Thu Mar 31 18:49:27 UTC 2022","45160","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 5","Test suite -- Task 5 / Test case 5",""
"skipped","Fri Apr 01 09:57:11 UTC 2022","Fri Apr 01 09:57:11 UTC 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 2","Test suite -- Task 5 / Test case 2",""
"passed","Thu Mar 31 18:50:20 UTC 2022","Thu Mar 31 18:50:26 UTC 2022","6277","","GitHub site","","GitHub site","Tpe to console log careers","Tpe to console log careers",""
"skipped","Fri Apr 01 09:57:11 UTC 2022","Fri Apr 01 09:57:11 UTC 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 5","Test suite -- Task 5 / Test case 5",""
"skipped","Fri Apr 01 09:57:11 UTC 2022","Fri Apr 01 09:57:11 UTC 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 3","Test suite -- Task 5 / Test case 3",""
"passed","Fri Apr 01 09:57:05 UTC 2022","Fri Apr 01 09:57:11 UTC 2022","6677","","webdriver.io page","","webdriver.io page","API -> Search -- Task 1","API -> Search -- Task 1",""
"passed","Thu Mar 31 18:47:52 UTC 2022","Thu Mar 31 18:47:54 UTC 2022","1968","","webdriver.io page","","webdriver.io page","API -> Docs -- Task 2","API -> Docs -- Task 2",""
"broken","Fri Apr 01 09:57:37 UTC 2022","Fri Apr 01 09:57:39 UTC 2022","2109","","GitHub site","","GitHub site","Forgor password (negative)","Forgor password (negative)",""
"passed","Thu Mar 31 18:50:41 UTC 2022","Thu Mar 31 18:50:50 UTC 2022","8511","","GitHub site","","GitHub site","Forgor password (positive)","Forgor password (positive)",""
"passed","Thu Mar 31 18:52:49 UTC 2022","Thu Mar 31 18:52:49 UTC 2022","660","","api request from wdio ","","api request from wdio ","check Email","check Email",""
"broken","Fri Apr 01 09:57:18 UTC 2022","Fri Apr 01 09:57:23 UTC 2022","4903","","GitHub site","","GitHub site","Registration (sign up, body) on GitHub (negative)","Registration (sign up, body) on GitHub (negative)",""
"passed","Thu Mar 31 18:48:05 UTC 2022","Thu Mar 31 18:48:22 UTC 2022","16942","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 2","Test suite -- Task 5 / Test case 2",""
"passed","Thu Mar 31 18:52:33 UTC 2022","Thu Mar 31 18:52:46 UTC 2022","13003","","GitHub site","","GitHub site","Eplore - topics","Eplore - topics",""
"passed","Thu Mar 31 18:50:02 UTC 2022","Thu Mar 31 18:50:17 UTC 2022","15058","","GitHub site","","GitHub site","Registration (sign up, body) on GitHub (positive)","Registration (sign up, body) on GitHub (positive)",""
"passed","Thu Mar 31 18:47:36 UTC 2022","Thu Mar 31 18:47:41 UTC 2022","4826","","addValue method Test","","addValue method Test","addValue test","addValue test",""
"passed","Fri Apr 01 09:57:27 UTC 2022","Fri Apr 01 09:57:30 UTC 2022","2198","","GitHub site","","GitHub site","Tpe to console log careers","Tpe to console log careers",""
"passed","Thu Mar 31 18:49:27 UTC 2022","Thu Mar 31 18:49:32 UTC 2022","4175","","webdriver.io page","","webdriver.io page","PageObjects -- Task 8-9","PageObjects -- Task 8-9",""
"skipped","Fri Apr 01 09:57:11 UTC 2022","Fri Apr 01 09:57:11 UTC 2022","0","","webdriver.io page","","webdriver.io page","API -> Docs -- Task 2","API -> Docs -- Task 2",""
"skipped","Fri Apr 01 09:57:11 UTC 2022","Fri Apr 01 09:57:11 UTC 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 1","Test suite -- Task 5 / Test case 1",""
"passed","Fri Apr 01 09:58:01 UTC 2022","Fri Apr 01 09:58:07 UTC 2022","6687","","GitHub site","","GitHub site","Sign in on GitHub","Sign in on GitHub",""
"passed","Fri Apr 01 09:58:19 UTC 2022","Fri Apr 01 09:58:22 UTC 2022","3884","","GitHub site","","GitHub site","Eplore - topics","Eplore - topics",""
"passed","Thu Mar 31 18:51:07 UTC 2022","Thu Mar 31 18:51:20 UTC 2022","13349","","GitHub site","","GitHub site","Registration (sign up, header) on GitHub","Registration (sign up, header) on GitHub",""
"passed","Thu Mar 31 18:52:03 UTC 2022","Thu Mar 31 18:52:16 UTC 2022","12393","","GitHub site","","GitHub site","Pricing plans","Pricing plans",""
"broken","Fri Apr 01 09:57:34 UTC 2022","Fri Apr 01 09:57:37 UTC 2022","2812","","GitHub site","","GitHub site","Forgor password (positive)","Forgor password (positive)",""
"skipped","Fri Apr 01 09:57:11 UTC 2022","Fri Apr 01 09:57:11 UTC 2022","0","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 4","Test suite -- Task 5 / Test case 4",""
"passed","Thu Mar 31 18:47:54 UTC 2022","Thu Mar 31 18:48:05 UTC 2022","11918","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 1","Test suite -- Task 5 / Test case 1",""
"passed","Fri Apr 01 09:58:14 UTC 2022","Fri Apr 01 09:58:18 UTC 2022","4189","","GitHub site","","GitHub site","Search field","Search field",""
"broken","Fri Apr 01 09:57:53 UTC 2022","Fri Apr 01 09:58:00 UTC 2022","6505","","GitHub site","","GitHub site","Registration (sign up, header) on GitHub","Registration (sign up, header) on GitHub",""
"broken","Thu Mar 31 18:48:26 UTC 2022","Thu Mar 31 18:48:42 UTC 2022","16498","","webdriver.io page","","webdriver.io page","Test suite -- Task 5 / Test case 4","Test suite -- Task 5 / Test case 4",""
"passed","Thu Mar 31 18:49:46 UTC 2022","Thu Mar 31 18:50:02 UTC 2022","16287","","GitHub site","","GitHub site","Registration (sign up, body) on GitHub (negative)","Registration (sign up, body) on GitHub (negative)",""
"passed","Thu Mar 31 18:50:28 UTC 2022","Thu Mar 31 18:50:39 UTC 2022","10775","","GitHub site","","GitHub site","Enterpriese cloud/server","Enterpriese cloud/server",""
"passed","Thu Mar 31 18:50:50 UTC 2022","Thu Mar 31 18:50:57 UTC 2022","7014","","GitHub site","","GitHub site","Forgor password (negative)","Forgor password (negative)",""
"broken","Fri Apr 01 09:57:30 UTC 2022","Fri Apr 01 09:57:33 UTC 2022","2692","","GitHub site","","GitHub site","Enterpriese cloud/server","Enterpriese cloud/server",""
